Cause,Effect,Taux d'apparition,Correlation pearson pairwise,pvalue correl
AT2G44370,AT5G44585,0.765625,0.8478259786063524,2.6579453164228423e-52
AT2G39200,AT3G22060,0.734375,0.8069855915690888,1.0111636357234954e-43
AT4G01250,AT1G19380,0.6875,0.7287054024006547,6.55926394374315e-32
AT5G59130,AT5G45650,0.65625,0.721145336266471,5.487092015759677e-31
AT3G19930,AT1G72300,0.65625,0.5276956992226456,1.1817574535466891e-14
AT2G44370,AT2G44380,0.625,0.7604776072609792,3.738529645696247e-36
AT4G24160,AT2G06050,0.625,0.6115698905896821,2.318761931147038e-20
AT2G37040,AT5G07440,0.59375,0.48867015518374546,1.7026775861946106e-12
AT1G51890,AT3G26210,0.578125,0.7171634804464004,1.6333367878072615e-30
AT2G30490,AT5G54160,0.578125,0.6235891920555467,2.530790865843226e-21
AT5G07440,AT5G20250,0.578125,0.38311657220730166,7.349069224632424e-08
AT5G48430,AT5G50200,0.578125,0.6267312407337551,1.3959169158608198e-21
AT2G37040,AT1G51680,0.5625,0.8063368304251618,1.331186137783895e-43
AT3G25882,AT1G02450,0.5625,0.8084574727382792,5.397654484016495e-44
AT3G19010,AT4G31550,0.546875,0.774942094363432,2.5976662469079547e-38
AT4G08850,AT4G38560,0.546875,0.757282106440026,1.0689189402941327e-35
AT1G05300,AT5G37600,0.546875,0.6914805092017223,1.2122834195715787e-27
AT2G39200,AT1G30730,0.53125,0.7902852100304925,8.75749188819442e-41
AT1G15950,AT1G37130,0.53125,0.6382383688615341,1.4891891117187295e-22
AT5G67450,AT3G48650,0.53125,0.615375584907519,1.1617388235984978e-20
AT5G39580,AT1G52200,0.53125,0.8116636297820004,1.3493163949356861e-44
AT5G04140,AT3G19450,0.515625,0.45614128285645517,6.801426302402951e-11
AT1G51890,AT5G40780,0.515625,0.724113524462119,2.403360024787974e-31
AT2G02220,AT1G70530,0.515625,0.8261471695546427,1.8160735869336813e-47
AT4G08850,AT1G64280,0.515625,0.7355207398480398,9.082749711227391e-33
AT2G17740,AT2G30490,0.515625,0.7279464968226764,8.144331543405189e-32
AT3G29034,AT2G05920,0.5,-0.6603641754342362,1.5264908830823442e-24
AT1G51890,AT3G49780,0.5,0.7214847607189068,4.995501110500826e-31
AT1G30720,AT5G48430,0.5,0.7883891213280543,1.8153635452889848e-40
AT2G30360,AT5G06950,0.5,0.30527317895266654,2.3859430785128313e-05
AT3G25882,AT4G35180,0.5,0.7961073644130489,8.901212755467401e-42
AT4G34980,AT2G39850,0.484375,0.5233313285439924,2.1273145404023136e-14
AT1G30730,AT4G20000,0.484375,0.7513761600092124,7.142547087593334e-35
AT2G19170,AT1G01900,0.484375,0.2091094068773434,0.004282493315569743
AT1G51890,AT1G77380,0.484375,0.6024588687383206,1.1684919723969453e-19
AT5G39580,AT1G30720,0.484375,0.7982409333077566,3.779780018949939e-42
AT2G05920,AT1G30600,0.46875,0.30651776200412656,2.201289756814661e-05
AT1G51890,AT1G65690,0.46875,0.8479235906099849,2.5182440937061388e-52
AT3G26210,AT5G10450,0.46875,0.3959506454915291,2.4232104885536443e-08
AT2G39850,AT5G44530,0.46875,0.5107739250471014,1.10244494595749e-13
AT5G04140,AT2G15620,0.453125,0.49977575282526837,4.4110324508390625e-13
AT2G39200,AT2G44370,0.453125,0.9057105551881429,3.992093509006327e-70
AT3G29034,AT5G50200,0.453125,0.7571381018160479,1.120311600582185e-35
AT1G19380,AT1G65490,0.453125,0.5203634137173301,3.157684989786085e-14
AT1G49000,AT4G01700,0.453125,0.7438695386815545,7.404273223850196e-34
AT2G25000,AT3G26210,0.4375,0.6018113335725342,1.308257071049576e-19
AT1G15950,AT5G54160,0.4375,0.547731319369754,7.114805453874181e-16
AT1G64170,AT4G27730,0.4375,0.5284489220757381,1.0668299027514303e-14
AT5G20250,AT5G10450,0.4375,0.429171194734819,1.0918008427455377e-09
AT5G67450,AT3G50470,0.4375,0.5648562793749474,5.528600837381319e-17
AT2G39530,AT4G30190,0.4375,0.4935303062929278,9.484698876056372e-13
AT3G50470,AT3G50480,0.4375,0.5297871524317896,8.889551353575589e-15
AT3G50470,AT4G31800,0.4375,0.6223603903016197,3.187993041276922e-21
AT5G39580,AT5G66420,0.4375,0.7272334078505802,9.974529123118284e-32
AT1G61360,AT2G44490,0.4375,0.8174584209487437,1.0282600153164201e-45
AT4G20860,AT2G42360,0.421875,0.8023660069684863,7.005404220711808e-43
AT4G34980,AT5G59130,0.421875,0.5512320913273834,4.270544797753067e-16
AT4G34980,AT5G67360,0.421875,0.637325206541391,1.7847606184673605e-22
AT5G01540,AT3G48650,0.421875,0.8095087801623809,3.4358647076491233e-44
AT2G44370,AT1G30730,0.421875,0.7919553826780165,4.5792290772327094e-41
AT5G39580,AT5G48430,0.421875,0.816777718682949,1.3979161611616003e-45
AT2G17740,AT2G39530,0.421875,0.782904108510364,1.4347459875579223e-39
AT2G44490,AT3G19010,0.421875,0.784304738416655,8.511598601769617e-40
AT4G20000,AT5G67450,0.40625,0.8097501054012197,3.0962340305487247e-44
AT3G52450,AT5G01540,0.40625,0.8197974745790252,3.54410213823134e-46
AT1G52200,AT1G05300,0.40625,0.5881941620065547,1.3283487619837828e-18
AT1G64170,AT1G05300,0.40625,0.686010476172188,4.535652919457324e-27
AT2G44370,AT2G36690,0.40625,0.8707334497151739,2.6276279330058515e-58
AT5G44585,AT2G44380,0.40625,0.7183976612017668,1.1671205267681412e-30
AT1G12940,AT5G37600,0.40625,0.6308474977110319,6.336777460449188e-22
AT2G15620,AT5G53460,0.40625,0.4971111915971013,6.126565086943104e-13
AT2G37040,AT1G65690,0.40625,0.5593166263334121,1.2838943255132243e-16
AT4G08850,AT3G19930,0.40625,0.674130830061127,7.224235349466201e-26
AT3G50480,AT5G51750,0.40625,-0.49210268417460057,1.127410021956961e-12
AT3G50480,AT3G25882,0.40625,0.5867424519083486,1.6898677240493558e-18
AT3G21080,AT4G23210,0.40625,0.7803619550229627,3.66507550689811e-39
AT2G37710,AT1G65490,0.40625,0.44333853585503225,2.6184609930918304e-10
AT2G25000,AT2G41220,0.390625,0.45246389057787906,1.007524654180838e-10
AT4G01250,AT4G31550,0.390625,0.8003497594864675,1.60464500173515e-42
AT1G30730,AT5G40780,0.390625,0.5978861995755771,2.5808112503705674e-19
AT5G67450,AT1G02450,0.390625,0.5558187173642429,2.1681834682230362e-16
AT2G25470,AT4G27730,0.390625,0.5356112412140687,3.9813545728896265e-15
AT1G51620,AT4G23210,0.390625,0.8227721412142841,8.941668031286065e-47
AT3G19010,AT4G08850,0.390625,0.7549090182432023,2.3079138823468693e-35
AT2G02220,AT2G44490,0.390625,0.81489998502731,3.2400338882701664e-45
AT1G05300,AT2G25470,0.390625,0.6576341214972852,2.7428433067913842e-24
AT1G65690,AT2G42360,0.390625,0.8312050134761463,1.5602703475182617e-48
AT4G01250,AT4G24160,0.375,0.6979436007363096,2.4541276517680256e-28
AT1G51800,AT2G19190,0.375,0.7754521995331198,2.165464540670083e-38
AT3G49780,AT2G19170,0.375,-0.4923911273499712,1.088791704115646e-12
AT5G44585,AT3G29034,0.375,0.671086478885363,1.4384758185573256e-25
AT4G08850,AT5G46330,0.375,0.5384240086901375,2.6861841554126518e-15
AT1G49000,AT5G53110,0.375,0.7640073079001394,1.1491259247817531e-36
AT3G19930,AT1G20160,0.375,0.36096933310915436,4.472388993532185e-07
AT5G67360,AT2G30360,0.375,-0.3750474016353744,1.441397329816892e-07
AT3G21080,AT2G25000,0.375,0.49074307253173727,1.3281337229508687e-12
AT1G70530,AT2G44490,0.359375,0.744693891526199,5.750273782285439e-34
AT3G14240,AT4G34980,0.359375,0.7007965320224575,1.1960976854131912e-28
AT2G39200,AT2G17740,0.359375,0.8405906953306945,1.3126640481069225e-50
AT5G53460,AT2G41220,0.359375,0.29865030655549357,3.640539040142693e-05
AT1G37130,AT2G15620,0.359375,0.2409390346022641,0.0009541104370429813
AT3G19010,AT1G51800,0.359375,0.8210637495726014,1.9781784029833615e-46
AT1G30720,AT3G19930,0.359375,0.6887715425719904,2.3387084000511005e-27
AT1G65690,AT2G31400,0.359375,-0.4154826516800634,4.080267654160342e-09
AT3G21080,AT3G50480,0.359375,0.686672839539165,3.8718837075662096e-27
AT3G52450,AT4G20860,0.34375,0.6577910939051943,2.6523997016949046e-24
AT3G52450,AT4G01250,0.34375,0.8356117936890716,1.7187781807816295e-49
AT2G39200,AT2G36690,0.34375,0.8905360240912739,1.662261443081188e-64
AT1G52200,AT5G67360,0.34375,-0.6080562391819784,4.3531076441773515e-20
AT1G19380,AT3G59880,0.34375,0.6246912797390688,2.055681760610833e-21
AT2G37040,AT1G15950,0.34375,0.5858780291749515,1.9491881266181723e-18
AT3G59880,AT1G19380,0.34375,0.6246912797390688,2.055681760610833e-21
AT2G39850,AT5G04140,0.34375,0.4933321903189145,9.715394833161354e-13
AT1G05300,AT1G21670,0.34375,0.5089158504261435,1.3983426279384231e-13
AT3G21080,AT5G37600,0.34375,0.6015258970655001,1.3749499915899132e-19
AT1G61360,AT3G52450,0.34375,0.8701534375038695,3.849727010972631e-58
AT2G17740,AT5G48430,0.34375,0.779482827008513,5.054466037130546e-39
AT1G72300,AT4G20430,0.328125,0.3255371432781097,6.138845088103537e-06
AT2G39200,AT1G61360,0.328125,0.8332419979072381,5.673687971749271e-49
AT5G50200,AT5G40780,0.328125,0.7323430076573758,2.3006049545240797e-32
AT5G01540,AT4G35180,0.328125,0.803177438384404,5.0049364648274635e-43
AT2G06050,AT2G30360,0.328125,0.5537434703310823,2.950207437426606e-16
AT1G51890,AT3G29034,0.328125,0.8125988222055818,8.960194772707927e-45
AT5G13930,AT2G15620,0.328125,0.4657120126093002,2.3922309993857863e-11
AT4G23210,AT1G51620,0.328125,0.8227721412142841,8.941668031286065e-47
AT2G44370,AT2G17740,0.328125,0.8293782004014952,3.8215396937641604e-48
AT1G37130,AT1G72300,0.328125,0.47072325563621464,1.3662300372774174e-11
AT2G44380,AT3G59880,0.328125,0.6052749945376378,7.127402721063138e-20
AT2G36690,AT4G01250,0.328125,0.8626156519296212,4.688527721583857e-56
AT4G27730,AT2G41220,0.328125,0.42343919952725184,1.909910314782185e-09
AT5G04140,AT5G44530,0.3125,0.5349834803935871,4.344655406120687e-15
AT5G04140,AT5G58840,0.3125,-0.33702859063200247,2.7188528099014253e-06
AT1G70530,AT1G64280,0.3125,0.7224909129168771,3.7791081933154384e-31
AT1G70530,AT2G02220,0.3125,0.8261471695546427,1.8160735869336813e-47
AT2G25000,AT2G37710,0.3125,0.5252283958387755,1.649332492773472e-14
AT4G20860,AT1G51800,0.3125,0.7569205194687927,1.2026134574177747e-35
AT1G72300,AT1G37130,0.3125,0.47072325563621464,1.3662300372774174e-11
AT3G52450,AT2G02220,0.3125,0.8289218692786989,4.7719728094075704e-48
AT3G29034,AT3G49780,0.3125,0.6937649285265725,6.926313505870491e-28
AT3G29034,AT1G71950,0.3125,0.5134289148887761,7.829300709853155e-14
AT2G05920,AT3G14240,0.3125,0.7186401063281821,1.0923234227017039e-30
AT1G51890,AT1G61380,0.3125,0.7107463170571472,9.112532661155067e-30
AT5G13930,AT5G10450,0.3125,-0.2702271065998839,0.00019920464019885896
AT5G07440,AT5G04140,0.3125,-0.6418183785784435,7.279791115464969e-23
AT5G67450,AT4G20000,0.3125,0.8097501054012197,3.0962340305487247e-44
AT2G02220,AT4G01250,0.3125,0.8286721364070496,5.387234395367952e-48
AT1G19380,AT1G51620,0.3125,0.7298250873277186,4.759770750084633e-32
AT2G42360,AT5G67360,0.3125,-0.49714740713289496,6.099386105235082e-13
AT3G19930,AT1G30720,0.3125,0.6887715425719904,2.3387084000511005e-27
AT3G19930,AT4G08850,0.3125,0.674130830061127,7.224235349466201e-26
AT1G51680,AT1G15950,0.3125,0.577375986096257,7.761879248599961e-18
AT3G50480,AT3G21080,0.3125,0.686672839539165,3.8718837075662096e-27
AT5G53110,AT1G49000,0.296875,0.7640073079001394,1.1491259247817531e-36
