AT1G01900,subtilases
AT1G04110,subtilases
AT1G20150,subtilases
AT1G20160,subtilases
AT1G30600,subtilases
AT1G32940,subtilases
AT1G32950,subtilases
AT1G32960,subtilases
AT1G32970,subtilases
AT1G62340,subtilases
AT1G66210,subtilases
AT1G66220,subtilases
AT2G04160,subtilases
AT2G05920,subtilases
AT2G19170,subtilases
AT2G39850,subtilases
AT3G14067,subtilases
AT3G14240,subtilases
AT3G46840,subtilases
AT3G46850,subtilases
AT4G00230,subtilases
AT4G10510,subtilases
AT4G10520,subtilases
AT4G10530,subtilases
AT4G10540,subtilases
AT4G10550,subtilases
AT4G15040,subtilases
AT4G20430,subtilases
AT4G20850,subtilases
AT4G21323,subtilases
AT4G21326,subtilases
AT4G21630,subtilases
AT4G21640,subtilases
AT4G21650,subtilases
AT4G26330,subtilases
AT4G30020,subtilases
AT4G34980,subtilases
AT5G03620,subtilases
AT5G11940,subtilases
AT5G19660,subtilases
AT5G44530,subtilases
AT5G45640,subtilases
AT5G45650,subtilases
AT5G51750,subtilases
AT5G58810,subtilases
AT5G58820,subtilases
AT5G58830,subtilases
AT5G58840,subtilases
AT5G59090,subtilases
AT5G59100,subtilases
AT5G59120,subtilases
AT5G59130,subtilases
AT5G59190,subtilases
AT5G59810,subtilases
AT5G67090,subtilases
AT5G67360,subtilases
AT2G06050,subtilases
AT1G09400,subtilases
AT1G17990,subtilases
AT1G18020,subtilases
AT1G76680,subtilases
AT1G76690,subtilases
AT1G71950,subtilases
AT2G39851,subtilases